transcript gene 001_5d234 002_embABC 003_rootABC 004_15d124 005_leafABC 006_inf2FGH 007_nodABC 008_inf1ABC
MLOC_10481.1 MLOC_10481 11.4534 10.3679 16.2655 17.665 10.066 8.24544 50.398 6.77707
MLOC_10482.5 MLOC_10482 14.0833 13.8929 13.439 11.3212 7.48651 59.6278 0.603315 54.7746
MLOC_10485.1 MLOC_10485 0.633944 2.99041 7.79554 0.15454 0.505787 0.143871 6.91298 0.045907
MLOC_10489 MLOC_10489 1.28607 2.11427 1.65679 4.03497 48.1467 1.72138 117.676 2.66743
MLOC_10496.1 MLOC_10496 1.18181 0.825568 0.701199 2.78193 0.856447 3.40459 1.28068 1.26923
MLOC_10497.1 MLOC_10497 11.5513 8.60031 5.58585 6.88105 6.543 39.3821 10.2629 30.9694
MLOC_10498.1 MLOC_10498 25.3055 13.0467 18.1543 12.6288 15.2415 5.07623 30.1615 3.76633
MLOC_10500.1 MLOC_10500 4.08886 0 0 7.70365 0 0 0 0
MLOC_10503.1 MLOC_10503 0.0246 0 0 0.148478 3.56535 0.115739 0 0.0581615
MLOC_10504.1 MLOC_10504 32.552 24.8004 28.3304 22.6891 19.7619 40.7196 60.7987 29.0633
MLOC_10509 MLOC_10509 0.105324 1.3872 1.77814 0.123589 0.132459 0.042293 2.41469 0
MLOC_10510.3 MLOC_10510 0.905093 0.425743 4.40822 2.23132 5.04417 0 1.63045 0.0180401
MLOC_10511.4 MLOC_10511 8.36141 6.01634 7.20864 9.72702 3.30599 34.2922 22.606 17.3879
MLOC_10517 MLOC_10517 10.9276 13.0273 12.539 11.5607 8.60792 17.8642 38.2894 15.0229
MLOC_10525.2 MLOC_10525 0 0.0132372 1.91235 0.0732555 0 0 0 0
MLOC_10527.1 MLOC_10527 0.0172478 0.478074 0.271151 0 0 0 0 0.0169118
MLOC_10528 MLOC_10528 10.1002 9.92419 24.6918 15.688 26.9315 14.9207 84.1278 7.83677
MLOC_10533.1 MLOC_10533 0 0.0881119 0.0536807 0.0416318 1.21717 0.706873 1.02499 0.0206241
