gene	module	isHub
MLOC_31696.1	004_15d124	TRUE
MLOC_31721.1	004_15d124	TRUE
MLOC_31736.1	004_15d124	TRUE
MLOC_31764.1	004_15d124	TRUE
MLOC_31848.1	004_15d124	TRUE
MLOC_31851.1	004_15d124	TRUE
MLOC_31855.1	004_15d124	TRUE
MLOC_31879	004_15d124	TRUE
MLOC_31886.1	004_15d124	TRUE
MLOC_31911.1	004_15d124	TRUE
MLOC_31941.2	004_15d124	TRUE
MLOC_31953.1	004_15d124	TRUE
MLOC_31965.1	004_15d124	TRUE
MLOC_32011.1	004_15d124	TRUE
MLOC_32074.1	004_15d124	TRUE
MLOC_32076.1	004_15d124	TRUE
MLOC_32083.1	004_15d124	TRUE
MLOC_32116.1	004_15d124	TRUE
MLOC_32119.1	004_15d124	TRUE
MLOC_32141.1	004_15d124	TRUE
MLOC_32143.1	004_15d124	TRUE
MLOC_32151.1	004_15d124	TRUE
MLOC_32160	004_15d124	TRUE
MLOC_32189.1	004_15d124	TRUE
MLOC_3219.1	004_15d124	TRUE
MLOC_322.1	004_15d124	TRUE
MLOC_32219.1	004_15d124	TRUE
MLOC_32229.1	004_15d124	TRUE
MLOC_32344.1	004_15d124	TRUE
MLOC_32384.1	004_15d124	TRUE
MLOC_32387.1	004_15d124	TRUE
MLOC_32468	004_15d124	TRUE
MLOC_32501.1	004_15d124	TRUE
MLOC_32679.1	004_15d124	TRUE
MLOC_32698	004_15d124	TRUE
MLOC_32711.1	004_15d124	TRUE
MLOC_32742.1	004_15d124	TRUE
MLOC_32750.1	004_15d124	TRUE
MLOC_32763.1	004_15d124	TRUE
MLOC_32794.1	004_15d124	TRUE
MLOC_32812	004_15d124	TRUE
MLOC_32822.1	004_15d124	TRUE
MLOC_32825.1	004_15d124	TRUE
MLOC_32827.1	004_15d124	TRUE
MLOC_32859.1	004_15d124	TRUE
MLOC_32906.1	004_15d124	TRUE
MLOC_32953.1	004_15d124	TRUE
MLOC_32955.1	004_15d124	TRUE
MLOC_32988.1	004_15d124	TRUE
MLOC_32993.1	004_15d124	TRUE
MLOC_33053.1	004_15d124	TRUE
MLOC_33114.1	004_15d124	TRUE
MLOC_33139	004_15d124	TRUE
MLOC_33190.1	004_15d124	TRUE
MLOC_33216.1	004_15d124	TRUE
MLOC_3328.1	004_15d124	TRUE
MLOC_33369.1	004_15d124	TRUE
MLOC_33381.1	004_15d124	TRUE
MLOC_33431.1	004_15d124	TRUE
MLOC_33438.1	004_15d124	TRUE
MLOC_33467.1	004_15d124	TRUE
MLOC_33499.1	004_15d124	TRUE
MLOC_3353.1	004_15d124	TRUE
MLOC_33530.1	004_15d124	TRUE
MLOC_33538.2	004_15d124	TRUE
MLOC_33543.1	004_15d124	TRUE
MLOC_33565.1	004_15d124	TRUE
MLOC_33602.1	004_15d124	TRUE
MLOC_33623.1	004_15d124	TRUE
MLOC_33634.1	004_15d124	TRUE
MLOC_33637.1	004_15d124	TRUE
MLOC_33668.1	004_15d124	TRUE
MLOC_33728.1	004_15d124	TRUE
MLOC_33729.1	004_15d124	TRUE
MLOC_33734.1	004_15d124	TRUE
MLOC_33776.1	004_15d124	TRUE
MLOC_33798.1	004_15d124	TRUE
MLOC_33822.1	004_15d124	TRUE
MLOC_33841.1	004_15d124	TRUE
MLOC_33863.1	004_15d124	TRUE
MLOC_33875	004_15d124	TRUE
MLOC_33914.1	004_15d124	TRUE
MLOC_33956.1	004_15d124	TRUE
MLOC_33972.1	004_15d124	TRUE
MLOC_34020	004_15d124	TRUE
MLOC_34034	004_15d124	TRUE
MLOC_34037.1	004_15d124	TRUE
MLOC_3405.1	004_15d124	TRUE
